x-coordinate,y-coordinate
3.157417784411557099e-02,4.040877421930733071e-02
3.144962114138953602e-02,4.050585322668184135e-02
3.138720360601294362e-02,4.055421377630454016e-02
3.132471471146130310e-02,4.060248201175599425e-02
3.126214420104653224e-02,4.065064436165242989e-02
3.119951509822663227e-02,4.069873061402072556e-02
3.113682431349613228e-02,4.074673634197770872e-02
3.107402580046201429e-02,4.079460100135090528e-02
3.101115690222802646e-02,4.084237332548826954e-02
3.094824122571966651e-02,4.089008392057167512e-02
3.088524202243524142e-02,4.093768416062677079e-02
3.082216243995354946e-02,4.098517790622077661e-02
3.075901051124924762e-02,4.103257536155786867e-02
3.069578048133125153e-02,4.107986856059549913e-02
3.063248755447960450e-02,4.112707759519945022e-02
3.056913785736489753e-02,4.117421039071991751e-02
3.050571426017320564e-02,4.122124370844354457e-02
3.044220993857119084e-02,4.126816797242928436e-02
3.037862711599026780e-02,4.131498581598416070e-02
3.031497228398861987e-02,4.136170573079555463e-02
3.025123965392036499e-02,4.140831938971813869e-02
3.018743710158706267e-02,4.145483734440812834e-02
3.012358742644694401e-02,4.150129069211174609e-02
3.005964611679725479e-02,4.154761758778400399e-02
2.999561279950301723e-02,4.159381740063497479e-02
2.993156246724198652e-02,4.163999373538618265e-02
2.986742476808849911e-02,4.168604827700429089e-02
2.980317122010180814e-02,4.173194134104674102e-02
2.973889125500954814e-02,4.177779745358381480e-02
2.967453812462835308e-02,4.182355053199950101e-02
2.961008435536095426e-02,4.186916195271396524e-02
2.954559153325843346e-02,4.191471817604962291e-02
2.948102376769536764e-02,4.196016792188351358e-02
2.941635638874150541e-02,4.200547597189584204e-02
2.935163216318201207e-02,4.205070271795928460e-02
2.928686799532142365e-02,4.209587232242087418e-02
2.922203663168738974e-02,4.214094537192943773e-02
2.915708399265350484e-02,4.218584336601444162e-02
2.909206993438981717e-02,4.223065263491346255e-02
2.902702213526545463e-02,4.227541273002332484e-02
2.896187789530912243e-02,4.232003228719782156e-02
2.889667631630905495e-02,4.236456821176315390e-02
2.883143977722926743e-02,4.240905277863207118e-02
2.876611698472322440e-02,4.245341061042922498e-02
2.870070413854182781e-02,4.249763555843592139e-02
2.863522410364939194e-02,4.254176094643161848e-02
2.856969864715119475e-02,4.258581895060793709e-02
2.850408707186606952e-02,4.262974838820604573e-02
2.843838756559466038e-02,4.267354637033893977e-02
2.837266756996183539e-02,4.271731365893811916e-02
2.830688173927004003e-02,4.276098170240032192e-02
2.824099689744016817e-02,4.280450040446805854e-02
2.817505047978607555e-02,4.284792578723786022e-02
2.810902571698501232e-02,4.289123173561273233e-02
2.804293096794612666e-02,4.293443094034170293e-02
2.797682052196546684e-02,4.297760625454342259e-02
2.791062333263141793e-02,4.302064806629780913e-02
2.784431081794525725e-02,4.306351230455079948e-02
2.777796379873987212e-02,4.310632316343471909e-02
2.771155157473307803e-02,4.314903248804192321e-02
2.764506401359545507e-02,4.319162465504575166e-02
2.757856146821507579e-02,4.323419354914271456e-02
2.751197457114530273e-02,4.327662997655955940e-02
2.744527318378609318e-02,4.331888654577647352e-02
2.737853669363574105e-02,4.336108767738273279e-02
2.731174129938476400e-02,4.340319526312481913e-02
2.724486740726868306e-02,4.344517824749937612e-02
2.717794952370279973e-02,4.348709112884444061e-02
2.711095732467695002e-02,4.352888492989750308e-02
2.704387635986679056e-02,4.357053625529823393e-02
2.697674531208060084e-02,4.361210680278389262e-02
2.690956731848646172e-02,4.365360136842601213e-02
2.684233452851612217e-02,4.369500713723961649e-02
2.677504174042054375e-02,4.373631536974850742e-02
2.670766735434146680e-02,4.377749028712157181e-02
2.664020975619272105e-02,4.381852880479617657e-02
